t,r,y,u
1.980000,1.000000,0.701238,0.818956
1.990000,1.000000,0.702419,0.819343
2.000000,1.000000,0.703592,0.819731
2.010000,1.000000,0.704757,0.820120
2.020000,1.000000,0.705915,0.820510
2.030000,1.000000,0.707065,0.820902
2.040000,1.000000,0.708207,0.821294
2.050000,1.000000,0.709342,0.821687
2.060000,1.000000,0.710469,0.822082
2.070000,1.000000,0.711589,0.822477
2.080000,1.000000,0.712702,0.822873
2.090000,1.000000,0.713808,0.823270
2.100000,1.000000,0.714907,0.823667
2.110000,1.000000,0.715998,0.824066
2.120000,1.000000,0.717083,0.824465
2.130000,1.000000,0.718161,0.824865
2.140000,1.000000,0.719232,0.825266
2.150000,1.000000,0.720296,0.825667
2.160000,1.000000,0.721354,0.826069
2.170000,1.000000,0.722405,0.826471
2.180000,1.000000,0.723450,0.826874
2.190000,1.000000,0.724488,0.827278
2.200000,1.000000,0.725520,0.827682
2.210000,1.000000,0.726545,0.828087
2.220000,1.000000,0.727565,0.828492
2.230000,1.000000,0.728578,0.828897
2.240000,1.000000,0.729586,0.829303
2.250000,1.000000,0.730587,0.829709
2.260000,1.000000,0.731582,0.830116
2.270000,1.000000,0.732571,0.830523
2.280000,1.000000,0.733555,0.830930
2.290000,1.000000,0.734533,0.831337
2.300000,1.000000,0.735505,0.831745
2.310000,1.000000,0.736471,0.832153
2.320000,1.000000,0.737432,0.832561
2.330000,1.000000,0.738388,0.832970
2.340000,1.000000,0.739338,0.833378
2.350000,1.000000,0.740282,0.833787
2.360000,1.000000,0.741221,0.834196
2.370000,1.000000,0.742155,0.834605
2.380000,1.000000,0.743084,0.835014
2.390000,1.000000,0.744007,0.835423
2.400000,1.000000,0.744925,0.835832
2.410000,1.000000,0.745838,0.836241
2.420000,1.000000,0.746747,0.836650
2.430000,1.000000,0.747650,0.837059
2.440000,1.000000,0.748548,0.837468
2.450000,1.000000,0.749441,0.837877
2.460000,1.000000,0.750330,0.838286
2.470000,1.000000,0.751213,0.838695
2.480000,1.000000,0.752092,0.839103
2.490000,1.000000,0.752966,0.839512
2.500000,1.000000,0.753836,0.839920
2.510000,1.000000,0.754701,0.840329
2.520000,1.000000,0.755561,0.840737
2.530000,1.000000,0.756417,0.841145
2.540000,1.000000,0.757268,0.841553
2.550000,1.000000,0.758115,0.841960
2.560000,1.000000,0.758958,0.842368
2.570000,1.000000,0.759796,0.842775
2.580000,1.000000,0.760630,0.843181
2.590000,1.000000,0.761459,0.843588
2.600000,1.000000,0.762285,0.843994
2.610000,1.000000,0.763106,0.844400
2.620000,1.000000,0.763923,0.844806
2.630000,1.000000,0.764736,0.845211
2.640000,1.000000,0.765545,0.845616
2.650000,1.000000,0.766349,0.846021
2.660000,1.000000,0.767150,0.846425
2.670000,1.000000,0.767947,0.846829
2.680000,1.000000,0.768740,0.847233
2.690000,1.000000,0.769529,0.847636
2.700000,1.000000,0.770314,0.848038
2.710000,1.000000,0.771095,0.848441
2.720000,1.000000,0.771873,0.848843
2.730000,1.000000,0.772646,0.849244
2.740000,1.000000,0.773416,0.849645
2.750000,1.000000,0.774183,0.850046
2.760000,1.000000,0.774945,0.850446
2.770000,1.000000,0.775704,0.850845
2.780000,1.000000,0.776460,0.851244
2.790000,1.000000,0.777211,0.851643
2.800000,1.000000,0.777960,0.852041
2.810000,1.000000,0.778705,0.852439
2.820000,1.000000,0.779446,0.852836
2.830000,1.000000,0.780184,0.853232
2.840000,1.000000,0.780918,0.853628
2.850000,1.000000,0.781649,0.854024
2.860000,1.000000,0.782377,0.854419
2.870000,1.000000,0.783101,0.854813
2.880000,1.000000,0.783822,0.855207
2.890000,1.000000,0.784540,0.855600
2.900000,1.000000,0.785255,0.855992
2.910000,1.000000,0.785966,0.856384
2.920000,1.000000,0.786674,0.856776
2.930000,1.000000,0.787379,0.857167
2.940000,1.000000,0.788081,0.857557
2.950000,1.000000,0.788779,0.857946
2.960000,1.000000,0.789475,0.858335
2.970000,1.000000,0.790167,0.858724
2.980000,1.000000,0.790857,0.859111
2.990000,1.000000,0.791543,0.859498
3.000000,1.000000,0.792227,0.859885
3.010000,1.000000,0.792907,0.860270
3.020000,1.000000,0.793585,0.860655
3.030000,1.000000,0.794259,0.861040
3.040000,1.000000,0.794931,0.861423
3.050000,1.000000,0.795600,0.861806
3.060000,1.000000,0.796265,0.862189
3.070000,1.000000,0.796928,0.862570
3.080000,1.000000,0.797589,0.862951
3.090000,1.000000,0.798246,0.863332
3.100000,1.000000,0.798901,0.863711
3.110000,1.000000,0.799553,0.864090
3.120000,1.000000,0.800202,0.864468
3.130000,1.000000,0.800848,0.864846
3.140000,1.000000,0.801492,0.865222
3.150000,1.000000,0.802133,0.865598
3.160000,1.000000,0.802771,0.865973
3.170000,1.000000,0.803407,0.866348
3.180000,1.000000,0.804040,0.866722
3.190000,1.000000,0.804671,0.867095
3.200000,1.000000,0.805299,0.867467
3.210000,1.000000,0.805924,0.867839
3.220000,1.000000,0.806547,0.868209
3.230000,1.000000,0.807167,0.868580
3.240000,1.000000,0.807785,0.868949
3.250000,1.000000,0.808401,0.869317
3.260000,1.000000,0.809013,0.869685
3.270000,1.000000,0.809624,0.870052
3.280000,1.000000,0.810232,0.870418
3.290000,1.000000,0.810837,0.870784
3.300000,1.000000,0.811440,0.871149
3.310000,1.000000,0.812041,0.871513
3.320000,1.000000,0.812639,0.871876
3.330000,1.000000,0.813235,0.872238
3.340000,1.000000,0.813829,0.872600
3.350000,1.000000,0.814420,0.872960
3.360000,1.000000,0.815009,0.873320
3.370000,1.000000,0.815596,0.873680
3.380000,1.000000,0.816181,0.874038
3.390000,1.000000,0.816763,0.874396
3.400000,1.000000,0.817343,0.874753
3.410000,1.000000,0.817920,0.875109
3.420000,1.000000,0.818496,0.875464
3.430000,1.000000,0.819069,0.875818
3.440000,1.000000,0.819640,0.876172
3.450000,1.000000,0.820209,0.876525
3.460000,1.000000,0.820776,0.876877
3.470000,1.000000,0.821340,0.877228
3.480000,1.000000,0.821902,0.877579
3.490000,1.000000,0.822463,0.877928
3.500000,1.000000,0.823021,0.878277
3.510000,1.000000,0.823577,0.878625
3.520000,1.000000,0.824131,0.878973
3.530000,1.000000,0.824683,0.879319
3.540000,1.000000,0.825233,0.879665
3.550000,1.000000,0.825780,0.880009
3.560000,1.000000,0.826326,0.880353
3.570000,1.000000,0.826870,0.880696
3.580000,1.000000,0.827411,0.881039
3.590000,1.000000,0.827951,0.881380
3.600000,1.000000,0.828489,0.881721
3.610000,1.000000,0.829025,0.882061
3.620000,1.000000,0.829558,0.882400
3.630000,1.000000,0.830090,0.882738
3.640000,1.000000,0.830620,0.883076
3.650000,1.000000,0.831148,0.883412
3.660000,1.000000,0.831674,0.883748
3.670000,1.000000,0.832198,0.884083
3.680000,1.000000,0.832720,0.884417
3.690000,1.000000,0.833240,0.884750
3.700000,1.000000,0.833759,0.885083
3.710000,1.000000,0.834275,0.885414
3.720000,1.000000,0.834790,0.885745
3.730000,1.000000,0.835303,0.886075
3.740000,1.000000,0.835814,0.886405
3.750000,1.000000,0.836323,0.886733
3.760000,1.000000,0.836831,0.887060
3.770000,1.000000,0.837336,0.887387
3.780000,1.000000,0.837840,0.887713
3.790000,1.000000,0.838342,0.888038
3.800000,1.000000,0.838842,0.888363
3.810000,1.000000,0.839341,0.888686
3.820000,1.000000,0.839837,0.889009
3.830000,1.000000,0.840332,0.889330
3.840000,1.000000,0.840825,0.889651
3.850000,1.000000,0.841317,0.889972
3.860000,1.000000,0.841807,0.890291
3.870000,1.000000,0.842295,0.890609
3.880000,1.000000,0.842781,0.890927
3.890000,1.000000,0.843266,0.891244
3.900000,1.000000,0.843748,0.891560
3.910000,1.000000,0.844230,0.891875
3.920000,1.000000,0.844709,0.892190
3.930000,1.000000,0.845187,0.892503
3.940000,1.000000,0.845664,0.892816
3.950000,1.000000,0.846138,0.893128
3.960000,1.000000,0.846611,0.893439
3.970000,1.000000,0.847083,0.893750
3.980000,1.000000,0.847552,0.894059
3.990000,1.000000,0.848021,0.894368
4.000000,1.000000,0.848487,0.894676
4.010000,1.000000,0.848952,0.894983
4.020000,1.000000,0.849415,0.895289
4.030000,1.000000,0.849877,0.895595
4.040000,1.000000,0.850337,0.895900
4.050000,1.000000,0.850796,0.896203
4.060000,1.000000,0.851253,0.896507
